ZONE I=361 J=100 K=1
2.279991e+00 -5.231800e-09 -1.910945e-01 -9.833073e+02
2.279945e+00 8.153085e-03 -1.910945e-01 -9.865508e+02
2.279808e+00 1.630637e-02 -1.910945e-01 -9.954198e+02
2.279570e+00 2.445952e-02 -1.910945e-01 -1.011463e+03
2.279239e+00 3.261281e-02 -1.910945e-01 -1.031062e+03
2.278824e+00 4.076702e-02 -1.910945e-01 -1.049948e+03
2.278310e+00 4.892139e-02 -1.910945e-01 -1.067389e+03
2.277707e+00 5.707674e-02 -1.910945e-01 -1.076361e+03
2.277000e+00 6.523138e-02 -1.910945e-01 -1.074368e+03
2.276207e+00 7.338779e-02 -1.910945e-01 -1.051905e+03
2.275308e+00 8.154305e-02 -1.910945e-01 -1.007639e+03
2.274324e+00 8.970057e-02 -1.910945e-01 -9.334286e+02
2.273248e+00 9.785976e-02 -1.910945e-01 -8.203304e+02
2.272072e+00 1.060188e-01 -1.910945e-01 -6.380861e+02
2.270798e+00 1.141780e-01 -1.910945e-01 -4.293220e+02
2.269426e+00 1.223379e-01 -1.910945e-01 -2.469769e+02
2.267964e+00 1.305005e-01 -1.910945e-01 -1.245786e+02
2.266408e+00 1.386653e-01 -1.910945e-01 -6.721330e+01
2.264756e+00 1.468317e-01 -1.910945e-01 -5.929297e+01
2.263001e+00 1.549980e-01 -1.910945e-01 -8.733214e+01
2.261143e+00 1.631638e-01 -1.910945e-01 -1.633087e+02
2.259188e+00 1.713314e-01 -1.910945e-01 -2.980441e+02
2.257130e+00 1.794991e-01 -1.910945e-01 -4.825814e+02
2.254990e+00 1.876754e-01 -1.910945e-01 -6.729142e+02
2.252742e+00 1.958508e-01 -1.910945e-01 -8.097170e+02
2.250377e+00 2.040200e-01 -1.910945e-01 -8.209395e+02
2.247917e+00 2.121940e-01 -1.910945e-01 -6.812682e+02
2.245347e+00 2.203659e-01 -1.910945e-01 -4.607346e+02
2.242682e+00 2.285435e-01 -1.910945e-01 -2.670685e+02
2.239925e+00 2.367290e-01 -1.910945e-01 -1.736665e+02
2.237054e+00 2.449117e-01 -1.910945e-01 -1.773605e+02
2.234070e+00 2.530919e-01 -1.910945e-01 -2.763078e+02
2.230979e+00 2.612731e-01 -1.910945e-01 -4.624966e+02
2.227774e+00 2.694520e-01 -1.910945e-01 -6.736389e+02
2.224475e+00 2.776419e-01 -1.910945e-01 -8.159502e+02
2.221064e+00 2.858312e-01 -1.910945e-01 -8.509738e+02
2.217540e+00 2.940209e-01 -1.910945e-01 -7.563067e+02
2.213896e+00 3.022069e-01 -1.910945e-01 -5.702314e+02
