#         PSIN          press         pprime              F        FFprime              q            Phi           RhoN
  0.000000e+00   5.131619e+04   3.643246e+05   4.633842e+00   4.339604e+00   8.823908e-01   0.000000e+00   0.000000e+00 
  1.010101e-02   5.016513e+04   3.635852e+05   4.630882e+00   4.330797e+00   8.894021e-01   1.797537e-02   4.784031e-02 
  2.020202e-02   4.901759e+04   3.622353e+05   4.627930e+00   4.314718e+00   8.928803e-01   2.697051e-02   5.860027e-02 
  3.030303e-02   4.787498e+04   3.604910e+05   4.624988e+00   4.293941e+00   8.928255e-01   3.598558e-02   6.768918e-02 
  4.040404e-02   4.673840e+04   3.584309e+05   4.622060e+00   4.269402e+00   8.952204e-01   4.502151e-02   7.571207e-02 
  5.050505e-02   4.560877e+04   3.561012e+05   4.619148e+00   4.241652e+00   8.979161e-01   5.407654e-02   8.297734e-02 
  6.060606e-02   4.448690e+04   3.535341e+05   4.616254e+00   4.211075e+00   9.007433e-01   6.316095e-02   8.967665e-02 
  7.070707e-02   4.337348e+04   3.507536e+05   4.613380e+00   4.177955e+00   9.038695e-01   7.227735e-02   9.593038e-02 
  8.080808e-02   4.226917e+04   3.477789e+05   4.610528e+00   4.142523e+00   9.073077e-01   8.142625e-02   1.018210e-01 
  9.090909e-02   4.117454e+04   3.446259e+05   4.607699e+00   4.104966e+00   9.109610e-01   9.060753e-02   1.074081e-01 
  1.010101e-01   4.009015e+04   3.413081e+05   4.604895e+00   4.065447e+00   9.148000e-01   9.982343e-02   1.127383e-01 
  1.111111e-01   3.901649e+04   3.378373e+05   4.602117e+00   4.024105e+00   9.188373e-01   1.090784e-01   1.178486e-01 
  1.212121e-01   3.795404e+04   3.342239e+05   4.599366e+00   3.981064e+00   9.231231e-01   1.183792e-01   1.227701e-01 
  1.313131e-01   3.690322e+04   3.304773e+05   4.596644e+00   3.936437e+00   9.276671e-01   1.277290e-01   1.275263e-01 
  1.414141e-01   3.586445e+04   3.266061e+05   4.593951e+00   3.890326e+00   9.324112e-01   1.371215e-01   1.321319e-01 
