#            R          press         pprime              F        FFprime           JPHI      BT_Vacuum             BT
  1.300006e+00   9.042810e-02   8.485818e+01   4.500000e+00   1.010777e-03  -7.290448e+02   3.461524e+00   3.461524e+00 
  1.304930e+00   3.161081e-01   1.951950e+02   4.500001e+00   2.325039e-03  -1.672575e+03   3.448460e+00   3.448461e+00 
  1.309855e+00   9.824426e-01   4.149515e+02   4.500003e+00   4.942640e-03  -3.546324e+03   3.435496e+00   3.435498e+00 
  1.314779e+00   2.799237e+00   8.319576e+02   4.500007e+00   9.909753e-03  -7.091753e+03   3.422628e+00   3.422633e+00 
  1.319704e+00   6.952169e+00   1.521287e+03   4.500018e+00   1.812061e-02  -1.293428e+04   3.409856e+00   3.409870e+00 
  1.324628e+00   1.486463e+01   2.516570e+03   4.500039e+00   2.997579e-02  -2.134157e+04   3.397179e+00   3.397209e+00 
  1.329553e+00   2.774257e+01   3.801712e+03   4.500073e+00   4.528359e-02  -3.215807e+04   3.384596e+00   3.384652e+00 
  1.334477e+00   4.594943e+01   5.303881e+03   4.500122e+00   6.317648e-02  -4.475127e+04   3.372106e+00   3.372198e+00 
  1.339402e+00   6.906579e+01   6.937113e+03   4.500183e+00   8.263050e-02  -5.838459e+04   3.359708e+00   3.359845e+00 
  1.344327e+00   9.868615e+01   8.771902e+03   4.500261e+00   1.044853e-01  -7.364245e+04   3.347401e+00   3.347595e+00 
  1.349251e+00   1.358422e+02   1.081876e+04   4.500360e+00   1.288663e-01  -9.060127e+04   3.335183e+00   3.335450e+00 
  1.354176e+00   1.814133e+02   1.307607e+04   4.500480e+00   1.557539e-01  -1.092353e+05   3.323055e+00   3.323409e+00 
  1.359100e+00   2.362807e+02   1.554194e+04   4.500625e+00   1.851257e-01  -1.295171e+05   3.311014e+00   3.311474e+00 
  1.364025e+00   3.013262e+02   1.821421e+04   4.500798e+00   2.169561e-01  -1.514173e+05   3.299060e+00   3.299645e+00 
  1.368949e+00   3.774764e+02   2.109220e+04   4.500999e+00   2.512370e-01  -1.749190e+05   3.287193e+00   3.287922e+00 
  1.373874e+00   4.656485e+02   2.417426e+04   4.501232e+00   2.879485e-01  -1.999978e+05   3.275410e+00   3.276307e+00 
  1.378798e+00   5.667127e+02   2.745690e+04   4.501500e+00   3.270493e-01  -2.266143e+05   3.263711e+00   3.264799e+00 
  1.383723e+00   6.815199e+02   3.093619e+04   4.501804e+00   3.684923e-01  -2.547259e+05   3.252096e+00   3.253399e+00 
  1.388648e+00   8.108967e+02   3.460770e+04   4.502146e+00   4.122250e-01  -2.842865e+05   3.240563e+00   3.242108e+00 
  1.393572e+00   9.556879e+02   3.846778e+04   4.502529e+00   4.582039e-01  -3.152569e+05   3.229112e+00   3.230927e+00 
  1.398497e+00   1.116920e+03   4.251728e+04   4.502955e+00   5.064390e-01  -3.476350e+05   3.217741e+00   3.219854e+00 
  1.403421e+00   1.295402e+03   4.675115e+04   4.503428e+00   5.568701e-01  -3.813707e+05   3.206450e+00   3.208892e+00 
  1.408346e+00   1.491863e+03   5.116283e+04   4.503947e+00   6.094193e-01  -4.164026e+05   3.195238e+00   3.198041e+00 
  1.413270e+00   1.706973e+03   5.574520e+04   4.504516e+00   6.640016e-01  -4.526646e+05   3.184104e+00   3.187300e+00 
  1.418195e+00   1.941341e+03   6.049056e+04   4.505136e+00   7.205253e-01  -4.900871e+05   3.173048e+00   3.176669e+00 
  1.423119e+00   2.195903e+03   6.539813e+04   4.505809e+00   7.789811e-01  -5.286572e+05   3.162068e+00   3.166150e+00 
  1.428044e+00   2.471594e+03   7.046656e+04   4.506537e+00   8.393531e-01  -5.683572e+05   3.151164e+00   3.155742e+00 
  1.432968e+00   2.768906e+03   7.568647e+04   4.507323e+00   9.015294e-01  -6.091054e+05   3.140334e+00   3.145445e+00 
  1.437893e+00   3.088240e+03   8.104785e+04   4.508167e+00   9.653907e-01  -6.508154e+05   3.129579e+00   3.135259e+00 
  1.442818e+00   3.429892e+03   8.654008e+04   4.509070e+00   1.030811e+00  -6.933971e+05   3.118897e+00   3.125184e+00 
  1.447742e+00   3.794213e+03   9.215438e+04   4.510032e+00   1.097685e+00  -7.367758e+05   3.108288e+00   3.115218e+00 
  1.452667e+00   4.182433e+03   9.789550e+04   4.511057e+00   1.166069e+00  -7.809855e+05   3.097751e+00   3.105363e+00 
  1.457591e+00   4.594897e+03   1.037545e+05   4.512146e+00   1.235858e+00  -8.259507e+05   3.087285e+00   3.095618e+00 
  1.462516e+00   5.031622e+03   1.097187e+05   4.513299e+00   1.306900e+00  -8.715671e+05   3.076890e+00   3.085983e+00 
  1.467440e+00   5.492487e+03   1.157748e+05   4.514515e+00   1.379037e+00  -9.177271e+05   3.066564e+00   3.076456e+00 
  1.472365e+00   5.977229e+03   1.219093e+05   4.515794e+00   1.452106e+00  -9.643205e+05   3.056308e+00   3.067034e+00 
  1.477289e+00   6.486456e+03   1.281201e+05   4.517137e+00   1.526086e+00  -1.011330e+06   3.046119e+00   3.057720e+00 
  1.482214e+00   7.021112e+03   1.344090e+05   4.518546e+00   1.600995e+00  -1.058769e+06   3.035999e+00   3.048512e+00 
  1.487139e+00   7.580754e+03   1.407613e+05   4.520021e+00   1.676659e+00  -1.106520e+06   3.025945e+00   3.039409e+00 
  1.492063e+00   8.164766e+03   1.471618e+05   4.521560e+00   1.752898e+00  -1.154463e+06   3.015958e+00   3.030408e+00 
  1.496988e+00   8.772366e+03   1.535951e+05   4.523161e+00   1.829528e+00  -1.202478e+06   3.006037e+00   3.021508e+00 
  1.501912e+00   9.402854e+03   1.600481e+05   4.524821e+00   1.906392e+00  -1.250463e+06   2.996181e+00   3.012707e+00 
  1.506837e+00   1.005763e+04   1.665293e+05   4.526544e+00   1.983592e+00  -1.298486e+06   2.986389e+00   3.004004e+00 
  1.511761e+00   1.073634e+04   1.730289e+05   4.528330e+00   2.061011e+00  -1.346472e+06   2.976660e+00   2.995400e+00 
  1.516686e+00   1.143783e+04   1.795308e+05   4.530174e+00   2.138458e+00  -1.394298e+06   2.966995e+00   2.986890e+00 
  1.521610e+00   1.216082e+04   1.860190e+05   4.532075e+00   2.215741e+00  -1.441841e+06   2.957393e+00   2.978473e+00 
  1.526535e+00   1.290382e+04   1.924772e+05   4.534027e+00   2.292667e+00  -1.488978e+06   2.947853e+00   2.970143e+00 
  1.531459e+00   1.366670e+04   1.989021e+05   4.536031e+00   2.369196e+00  -1.535689e+06   2.938374e+00   2.961901e+00 
  1.536384e+00   1.445053e+04   2.052998e+05   4.538089e+00   2.445402e+00  -1.582023e+06   2.928955e+00   2.953747e+00 
  1.541309e+00   1.525375e+04   2.116550e+05   4.540197e+00   2.521100e+00  -1.627865e+06   2.919597e+00   2.945677e+00 
  1.546233e+00   1.607459e+04   2.179518e+05   4.542350e+00   2.596104e+00  -1.673099e+06   2.910299e+00   2.937687e+00 
  1.551158e+00   1.691111e+04   2.241749e+05   4.544543e+00   2.670229e+00  -1.717611e+06   2.901059e+00   2.929775e+00 
  1.556082e+00   1.776146e+04   2.303107e+05   4.546771e+00   2.743316e+00  -1.761304e+06   2.891878e+00   2.921935e+00 
  1.561007e+00   1.862700e+04   2.363694e+05   4.549038e+00   2.815482e+00  -1.804259e+06   2.882755e+00   2.914169e+00 
  1.565931e+00   1.950687e+04   2.423446e+05   4.551341e+00   2.886655e+00  -1.846435e+06   2.873689e+00   2.906476e+00 
  1.570856e+00   2.039897e+04   2.482222e+05   4.553675e+00   2.956666e+00  -1.887729e+06   2.864680e+00   2.898850e+00 
  1.575780e+00   2.130104e+04   2.539887e+05   4.556034e+00   3.025353e+00  -1.928044e+06   2.855728e+00   2.891288e+00 
  1.580705e+00   2.221070e+04   2.596309e+05   4.558412e+00   3.092559e+00  -1.967287e+06   2.846831e+00   2.883784e+00 
  1.585630e+00   2.312704e+04   2.651457e+05   4.560806e+00   3.158248e+00  -2.005442e+06   2.837990e+00   2.876338e+00 
  1.590554e+00   2.405127e+04   2.705424e+05   4.563219e+00   3.222530e+00  -2.042586e+06   2.829203e+00   2.868949e+00 
  1.595479e+00   2.498122e+04   2.758104e+05   4.565646e+00   3.285279e+00  -2.078644e+06   2.820470e+00   2.861615e+00 
  1.600403e+00   2.591452e+04   2.809387e+05   4.568080e+00   3.346364e+00  -2.113541e+06   2.811791e+00   2.854331e+00 
  1.605328e+00   2.684867e+04   2.859169e+05   4.570515e+00   3.405662e+00  -2.147206e+06   2.803166e+00   2.847092e+00 
  1.610252e+00   2.778125e+04   2.907364e+05   4.572945e+00   3.463068e+00  -2.179581e+06   2.794593e+00   2.839893e+00 
  1.615177e+00   2.871328e+04   2.954063e+05   4.575372e+00   3.518693e+00  -2.210744e+06   2.786073e+00   2.832738e+00 
  1.620101e+00   2.964399e+04   2.999262e+05   4.577794e+00   3.572531e+00  -2.240696e+06   2.777604e+00   2.825622e+00 
  1.625026e+00   3.057103e+04   3.042883e+05   4.580206e+00   3.624490e+00  -2.269388e+06   2.769187e+00   2.818543e+00 
  1.629950e+00   3.149199e+04   3.084857e+05   4.582600e+00   3.674487e+00  -2.296775e+06   2.760820e+00   2.811497e+00 
  1.634875e+00   3.240443e+04   3.125123e+05   4.584971e+00   3.722449e+00  -2.322819e+06   2.752504e+00   2.804478e+00 
  1.639800e+00   3.330707e+04   3.163675e+05   4.587316e+00   3.768370e+00  -2.347523e+06   2.744238e+00   2.797486e+00 
  1.644724e+00   3.420111e+04   3.200615e+05   4.589637e+00   3.812370e+00  -2.370970e+06   2.736021e+00   2.790521e+00 
  1.649649e+00   3.508463e+04   3.235908e+05   4.591929e+00   3.854409e+00  -2.393141e+06   2.727854e+00   2.783580e+00 
  1.654573e+00   3.595548e+04   3.269520e+05   4.594187e+00   3.894446e+00  -2.414018e+06   2.719735e+00   2.776660e+00 
  1.659498e+00   3.681150e+04   3.301422e+05   4.596406e+00   3.932446e+00  -2.433586e+06   2.711664e+00   2.769757e+00 
  1.664422e+00   3.765058e+04   3.331595e+05   4.598580e+00   3.968386e+00  -2.451838e+06   2.703641e+00   2.762869e+00 
  1.669347e+00   3.847329e+04   3.360119e+05   4.600711e+00   4.002362e+00  -2.468839e+06   2.695665e+00   2.755994e+00 
  1.674271e+00   3.927929e+04   3.387038e+05   4.602797e+00   4.034425e+00  -2.484629e+06   2.687736e+00   2.749134e+00 
  1.679196e+00   4.006680e+04   3.412346e+05   4.604834e+00   4.064571e+00  -2.499209e+06   2.679854e+00   2.742285e+00 
  1.684121e+00   4.083402e+04   3.436046e+05   4.606819e+00   4.092801e+00  -2.512588e+06   2.672018e+00   2.735445e+00 
  1.689045e+00   4.157920e+04   3.458148e+05   4.608745e+00   4.119127e+00  -2.524777e+06   2.664227e+00   2.728610e+00 
  1.693970e+00   4.230126e+04   3.478683e+05   4.610611e+00   4.143588e+00  -2.535808e+06   2.656482e+00   2.721779e+00 
  1.698894e+00   4.300118e+04   3.497744e+05   4.612419e+00   4.166291e+00  -2.545751e+06   2.648782e+00   2.714953e+00 
  1.703819e+00   4.367780e+04   3.515358e+05   4.614166e+00   4.187272e+00  -2.554634e+06   2.641126e+00   2.708132e+00 
  1.708743e+00   4.432979e+04   3.531555e+05   4.615848e+00   4.206565e+00  -2.562481e+06   2.633514e+00   2.701312e+00 
  1.713668e+00   4.495581e+04   3.546366e+05   4.617464e+00   4.224206e+00  -2.569321e+06   2.625946e+00   2.694492e+00 
  1.718592e+00   4.555458e+04   3.559828e+05   4.619008e+00   4.240242e+00  -2.575186e+06   2.618422e+00   2.687669e+00 
  1.723517e+00   4.612637e+04   3.572017e+05   4.620482e+00   4.254761e+00  -2.580133e+06   2.610940e+00   2.680845e+00 
  1.728441e+00   4.667126e+04   3.583000e+05   4.621887e+00   4.267843e+00  -2.584216e+06   2.603502e+00   2.674020e+00 
  1.733366e+00   4.718831e+04   3.592822e+05   4.623219e+00   4.279542e+00  -2.587472e+06   2.596105e+00   2.667191e+00 
  1.738291e+00   4.767659e+04   3.601534e+05   4.624477e+00   4.289920e+00  -2.589940e+06   2.588750e+00   2.660359e+00 
  1.743215e+00   4.813523e+04   3.609190e+05   4.625658e+00   4.299039e+00  -2.591663e+06   2.581437e+00   2.653521e+00 
  1.748140e+00   4.856365e+04   3.615851e+05   4.626761e+00   4.306973e+00  -2.592688e+06   2.574165e+00   2.646677e+00 
  1.753064e+00   4.896252e+04   3.621596e+05   4.627788e+00   4.313817e+00  -2.593075e+06   2.566934e+00   2.639828e+00 
  1.757989e+00   4.933141e+04   3.626489e+05   4.628737e+00   4.319645e+00  -2.592872e+06   2.559743e+00   2.632973e+00 
  1.762913e+00   4.966975e+04   3.630591e+05   4.629608e+00   4.324530e+00  -2.592124e+06   2.552593e+00   2.626112e+00 
  1.767838e+00   4.997698e+04   3.633965e+05   4.630398e+00   4.328550e+00  -2.590880e+06   2.545482e+00   2.619244e+00 
  1.772762e+00   5.025257e+04   3.636679e+05   4.631107e+00   4.331782e+00  -2.589189e+06   2.538411e+00   2.612368e+00 
  1.777687e+00   5.049669e+04   3.638806e+05   4.631735e+00   4.334315e+00  -2.587105e+06   2.531379e+00   2.605484e+00 
  1.782612e+00   5.070961e+04   3.640419e+05   4.632283e+00   4.336237e+00  -2.584682e+06   2.524386e+00   2.598593e+00 
  1.787536e+00   5.089097e+04   3.641587e+05   4.632749e+00   4.337628e+00  -2.581970e+06   2.517432e+00   2.591695e+00 
  1.792461e+00   5.104042e+04   3.642379e+05   4.633133e+00   4.338572e+00  -2.579020e+06   2.510515e+00   2.584789e+00 
  1.797385e+00   5.115762e+04   3.642868e+05   4.633434e+00   4.339154e+00  -2.575882e+06   2.503637e+00   2.577875e+00 
  1.802310e+00   5.124237e+04   3.643126e+05   4.633652e+00   4.339461e+00  -2.572608e+06   2.496796e+00   2.570952e+00 
  1.807234e+00   5.129516e+04   3.643227e+05   4.633788e+00   4.339582e+00  -2.569253e+06   2.489993e+00   2.564022e+00 
  1.812159e+00   5.131587e+04   3.643246e+05   4.633841e+00   4.339604e+00  -2.565868e+06   2.483226e+00   2.557083e+00 
  1.817083e+00   5.130422e+04   3.643238e+05   4.633811e+00   4.339595e+00  -2.562492e+06   2.476496e+00   2.550137e+00 
  1.822008e+00   5.125995e+04   3.643166e+05   4.633697e+00   4.339509e+00  -2.559099e+06   2.469803e+00   2.543182e+00 
  1.826932e+00   5.118281e+04   3.642954e+05   4.633499e+00   4.339257e+00  -2.555635e+06   2.463145e+00   2.536218e+00 
  1.831857e+00   5.107294e+04   3.642528e+05   4.633217e+00   4.338749e+00  -2.552050e+06   2.456524e+00   2.529246e+00 
  1.836782e+00   5.093062e+04   3.641813e+05   4.632851e+00   4.337898e+00  -2.548290e+06   2.449937e+00   2.522265e+00 
  1.841706e+00   5.075566e+04   3.640735e+05   4.632401e+00   4.336613e+00  -2.544304e+06   2.443387e+00   2.515277e+00 
  1.846631e+00   5.054790e+04   3.639215e+05   4.631867e+00   4.334803e+00  -2.540040e+06   2.436871e+00   2.508280e+00 
  1.851555e+00   5.030716e+04   3.637178e+05   4.631248e+00   4.332377e+00  -2.535444e+06   2.430389e+00   2.501274e+00 
  1.856480e+00   5.003335e+04   3.634546e+05   4.630543e+00   4.329241e+00  -2.530463e+06   2.423942e+00   2.494260e+00 
  1.861404e+00   4.972681e+04   3.631244e+05   4.629755e+00   4.325308e+00  -2.525047e+06   2.417530e+00   2.487238e+00 
  1.866329e+00   4.938768e+04   3.627198e+05   4.628882e+00   4.320489e+00  -2.519146e+06   2.411151e+00   2.480207e+00 
  1.871253e+00   4.901602e+04   3.622332e+05   4.627926e+00   4.314693e+00  -2.512709e+06   2.404805e+00   2.473169e+00 
  1.876178e+00   4.861192e+04   3.616570e+05   4.626885e+00   4.307830e+00  -2.505685e+06   2.398493e+00   2.466123e+00 
  1.881103e+00   4.817550e+04   3.609837e+05   4.625762e+00   4.299809e+00  -2.498023e+06   2.392214e+00   2.459069e+00 
  1.886027e+00   4.770691e+04   3.602056e+05   4.624555e+00   4.290542e+00  -2.489673e+06   2.385968e+00   2.452009e+00 
  1.890952e+00   4.720645e+04   3.593156e+05   4.623266e+00   4.279940e+00  -2.480588e+06   2.379754e+00   2.444941e+00 
  1.895876e+00   4.667459e+04   3.583065e+05   4.621895e+00   4.267920e+00  -2.470721e+06   2.373573e+00   2.437868e+00 
  1.900801e+00   4.611183e+04   3.571716e+05   4.620445e+00   4.254402e+00  -2.460027e+06   2.367423e+00   2.430789e+00 
  1.905725e+00   4.551870e+04   3.559042e+05   4.618915e+00   4.239305e+00  -2.448465e+06   2.361306e+00   2.423705e+00 
  1.910650e+00   4.489575e+04   3.544977e+05   4.617309e+00   4.222552e+00  -2.435990e+06   2.355220e+00   2.416617e+00 
  1.915574e+00   4.424298e+04   3.529443e+05   4.615624e+00   4.204049e+00  -2.422552e+06   2.349165e+00   2.409525e+00 
  1.920499e+00   4.356111e+04   3.512378e+05   4.613864e+00   4.183723e+00  -2.408112e+06   2.343141e+00   2.402430e+00 
  1.925423e+00   4.285119e+04   3.493730e+05   4.612031e+00   4.161511e+00  -2.392637e+06   2.337148e+00   2.395333e+00 
  1.930348e+00   4.211431e+04   3.473450e+05   4.610128e+00   4.137355e+00  -2.376097e+06   2.331186e+00   2.388237e+00 
  1.935273e+00   4.135160e+04   3.451494e+05   4.608157e+00   4.111202e+00  -2.358464e+06   2.325254e+00   2.381141e+00 
  1.940197e+00   4.056360e+04   3.427801e+05   4.606119e+00   4.082980e+00  -2.339701e+06   2.319352e+00   2.374047e+00 
  1.945122e+00   3.975031e+04   3.402294e+05   4.604016e+00   4.052597e+00  -2.319758e+06   2.313480e+00   2.366955e+00 
  1.950046e+00   3.891336e+04   3.374943e+05   4.601850e+00   4.020019e+00  -2.298619e+06   2.307638e+00   2.359867e+00 
  1.954971e+00   3.805445e+04   3.345730e+05   4.599626e+00   3.985222e+00  -2.276273e+06   2.301825e+00   2.352785e+00 
  1.959895e+00   3.717532e+04   3.314639e+05   4.597349e+00   3.948188e+00  -2.252714e+06   2.296041e+00   2.345711e+00 
  1.964820e+00   3.627763e+04   3.281658e+05   4.595023e+00   3.908904e+00  -2.227938e+06   2.290286e+00   2.338648e+00 
  1.969744e+00   3.536095e+04   3.246700e+05   4.592646e+00   3.867264e+00  -2.201887e+06   2.284560e+00   2.331595e+00 
  1.974669e+00   3.442657e+04   3.209735e+05   4.590222e+00   3.823234e+00  -2.174547e+06   2.278863e+00   2.324552e+00 
  1.979594e+00   3.347678e+04   3.170782e+05   4.587756e+00   3.776835e+00  -2.145932e+06   2.273194e+00   2.317524e+00 
  1.984518e+00   3.251392e+04   3.129867e+05   4.585256e+00   3.728099e+00  -2.116063e+06   2.267553e+00   2.310513e+00 
  1.989443e+00   3.154030e+04   3.087022e+05   4.582726e+00   3.677065e+00  -2.084967e+06   2.261940e+00   2.303522e+00 
  1.994367e+00   3.055712e+04   3.042239e+05   4.580170e+00   3.623723e+00  -2.052640e+06   2.256355e+00   2.296553e+00 
  1.999292e+00   2.956377e+04   2.995422e+05   4.577586e+00   3.567957e+00  -2.019020e+06   2.250797e+00   2.289604e+00 
  2.004216e+00   2.856288e+04   2.946625e+05   4.574980e+00   3.509833e+00  -1.984148e+06   2.245267e+00   2.282678e+00 
  2.009141e+00   2.755722e+04   2.895921e+05   4.572361e+00   3.449438e+00  -1.948075e+06   2.239763e+00   2.275779e+00 
  2.014065e+00   2.654952e+04   2.843393e+05   4.569735e+00   3.386870e+00  -1.910860e+06   2.234287e+00   2.268911e+00 
  2.018990e+00   2.554239e+04   2.789126e+05   4.567110e+00   3.322231e+00  -1.872562e+06   2.228837e+00   2.262076e+00 
  2.023914e+00   2.453513e+04   2.733034e+05   4.564482e+00   3.255417e+00  -1.833127e+06   2.223414e+00   2.255274e+00 
  2.028839e+00   2.352892e+04   2.675124e+05   4.561855e+00   3.186439e+00  -1.792561e+06   2.218017e+00   2.248505e+00 
  2.033764e+00   2.252680e+04   2.615520e+05   4.559238e+00   3.115442e+00  -1.750951e+06   2.212647e+00   2.241774e+00 
  2.038688e+00   2.153168e+04   2.554354e+05   4.556637e+00   3.042585e+00  -1.708385e+06   2.207302e+00   2.235083e+00 
  2.043613e+00   2.054635e+04   2.491763e+05   4.554061e+00   2.968031e+00  -1.664959e+06   2.201983e+00   2.228436e+00 
  2.048537e+00   1.957239e+04   2.427823e+05   4.551513e+00   2.891869e+00  -1.620724e+06   2.196689e+00   2.221835e+00 
  2.053462e+00   1.860849e+04   2.362417e+05   4.548989e+00   2.813962e+00  -1.575603e+06   2.191421e+00   2.215278e+00 
  2.058386e+00   1.765724e+04   2.295687e+05   4.546498e+00   2.734477e+00  -1.529693e+06   2.186179e+00   2.208768e+00 
  2.063311e+00   1.672148e+04   2.227808e+05   4.544046e+00   2.653624e+00  -1.483112e+06   2.180961e+00   2.202308e+00 
  2.068235e+00   1.580383e+04   2.158961e+05   4.541640e+00   2.571618e+00  -1.435980e+06   2.175768e+00   2.195901e+00 
  2.073160e+00   1.490669e+04   2.089332e+05   4.539286e+00   2.488680e+00  -1.388422e+06   2.170599e+00   2.189549e+00 
  2.078085e+00   1.402930e+04   2.018865e+05   4.536983e+00   2.404745e+00  -1.340402e+06   2.165456e+00   2.183252e+00 
  2.083009e+00   1.317198e+04   1.947587e+05   4.534732e+00   2.319842e+00  -1.291937e+06   2.160336e+00   2.177010e+00 
  2.087934e+00   1.233715e+04   1.875703e+05   4.532538e+00   2.234219e+00  -1.243163e+06   2.155241e+00   2.170825e+00 
  2.092858e+00   1.152701e+04   1.803425e+05   4.530409e+00   2.148126e+00  -1.194221e+06   2.150170e+00   2.164699e+00 
  2.097783e+00   1.074350e+04   1.730963e+05   4.528348e+00   2.061814e+00  -1.145249e+06   2.145122e+00   2.158636e+00 
  2.102707e+00   9.987624e+03   1.658465e+05   4.526360e+00   1.975459e+00  -1.096344e+06   2.140098e+00   2.152634e+00 
  2.107632e+00   9.257740e+03   1.585820e+05   4.524439e+00   1.888928e+00  -1.047432e+06   2.135098e+00   2.146693e+00 
  2.112556e+00   8.555156e+03   1.513204e+05   4.522589e+00   1.802434e+00  -9.986281e+05   2.130121e+00   2.140813e+00 
  2.117481e+00   7.881398e+03   1.440840e+05   4.520814e+00   1.716237e+00  -9.500776e+05   2.125167e+00   2.134996e+00 
  2.122406e+00   7.237729e+03   1.368945e+05   4.519117e+00   1.630600e+00  -9.019228e+05   2.120236e+00   2.129243e+00 
  2.127330e+00   6.625152e+03   1.297734e+05   4.517503e+00   1.545779e+00  -8.543035e+05   2.115328e+00   2.123555e+00 
  2.132255e+00   6.042748e+03   1.227213e+05   4.515967e+00   1.461778e+00  -8.072205e+05   2.110442e+00   2.117930e+00 
  2.137179e+00   5.489763e+03   1.157397e+05   4.514508e+00   1.378618e+00  -7.606824e+05   2.105579e+00   2.112368e+00 
  2.142104e+00   4.966946e+03   1.088499e+05   4.513128e+00   1.296551e+00  -7.148261e+05   2.100739e+00   2.106867e+00 
  2.147028e+00   4.474798e+03   1.020724e+05   4.511829e+00   1.215822e+00  -6.697844e+05   2.095920e+00   2.101430e+00 
  2.151953e+00   4.013581e+03   9.542711e+04   4.510611e+00   1.136667e+00  -6.256850e+05   2.091124e+00   2.096055e+00 
  2.156877e+00   3.583085e+03   8.892945e+04   4.509474e+00   1.059271e+00  -5.826255e+05   2.086350e+00   2.090742e+00 
  2.161802e+00   3.181653e+03   8.257312e+04   4.508414e+00   9.835588e-01  -5.405617e+05   2.081597e+00   2.085489e+00 
