NFL         = 45
    2.789519     0.807041  2.117030e+00 -2.160815e+00
    2.726212     0.956211  2.174170e+00 -2.028700e+00
    2.314585     1.353061  1.110388e+00 -1.573676e+00
    2.293328     1.367180  1.031367e+00 -1.551363e+00
    1.457697     1.516462 -1.546026e+00 -8.562262e-01
    1.432615     1.503208 -1.561977e+00 -8.441931e-01
    1.301324     1.396932 -1.542467e+00 -7.993259e-01
    1.283077     1.375347 -1.527034e+00 -7.966218e-01
    1.265879     1.352866 -1.510079e+00 -7.952431e-01
    1.249847     1.329666 -1.492186e+00 -7.952358e-01
    1.235596     1.305951 -1.473662e+00 -7.971856e-01
    1.221507     1.281807 -1.455437e+00 -7.993320e-01
    1.167865     1.137147 -1.351395e+00 -8.442810e-01
    1.161352     1.090110 -1.318144e+00 -8.726618e-01
    1.158370     1.063103 -1.299102e+00 -8.903254e-01
    1.156584     1.036288 -1.279977e+00 -9.098152e-01
    1.157067     1.008692 -1.259905e+00 -9.336687e-01
    1.157706     0.980466 -1.239275e+00 -9.588876e-01
    1.158898     0.845546 -1.136367e+00 -1.084550e+00
    1.163775     0.722118 -1.034885e+00 -1.217497e+00
    1.164068     0.254294 -6.650867e-01 -1.672518e+00
    1.163916     0.127042 -6.220139e-01 -1.741379e+00
    1.163584    -0.000204 -6.075357e-01 -1.764497e+00
    1.164278    -0.126846 -6.234255e-01 -1.742762e+00
    1.163985    -0.253431 -6.643909e-01 -1.672840e+00
    1.163830    -0.721924 -1.034758e+00 -1.217812e+00
    1.158565    -0.844506 -1.135440e+00 -1.084955e+00
    1.157990    -0.980113 -1.238998e+00 -9.596279e-01
    1.157104    -1.007966 -1.259374e+00 -9.343400e-01
    1.158092    -1.035821 -1.279420e+00 -9.123623e-01
    1.158164    -1.062766 -1.298894e+00 -8.903129e-01
    1.162437    -1.090455 -1.318178e+00 -8.738520e-01
    1.168385    -1.136893 -1.351083e+00 -8.451467e-01
    1.222664    -1.282218 -1.455417e+00 -8.003231e-01
    1.236292    -1.305235 -1.472675e+00 -7.984719e-01
    1.250757    -1.328728 -1.490799e+00 -7.968950e-01
    1.266682    -1.352122 -1.508852e+00 -7.966266e-01
    1.283979    -1.374531 -1.525566e+00 -7.981417e-01
    1.302142    -1.396517 -1.541430e+00 -8.004497e-01
    1.433777    -1.502393 -1.559203e+00 -8.458519e-01
    1.458334    -1.516011 -1.544405e+00 -8.571321e-01
    2.293566    -1.367404  1.032687e+00 -1.551167e+00
    2.315361    -1.353730  1.114708e+00 -1.573086e+00
    2.726025    -0.956559  2.174158e+00 -2.028382e+00
    2.790102    -0.807892  2.121117e+00 -2.159599e+00

NMP         = 84
    2.777413     0.063458   -89.850000 -2.362935e-01 -8.112362e-02
    2.777243     0.190233   -89.940000 -2.348090e-01 -7.728619e-02
    2.777369     0.317262   -90.130000 -2.321820e-01 -7.007512e-02
    2.777941     0.444511   -90.320000 -2.294400e-01 -6.059879e-02
    2.778850     0.571616   -90.530000 -2.276576e-01 -5.009728e-02
    2.749067     0.876060   -67.780000 -2.661661e-01 -4.934142e-02
    2.668303     1.010942   -51.820000 -2.812045e-01 -5.632013e-02
    2.566081     1.126820   -45.720000 -2.877740e-01 -5.706871e-02
    2.452918     1.232880   -40.200000 -2.784190e-01 -5.757410e-02
    2.202013     1.397644   -28.453000 -1.966844e-01 -6.122515e-02
    2.047496     1.474489   -21.880000 -1.268064e-01 -6.358191e-02
    1.881603     1.529977   -14.730000 -4.292629e-02 -6.770952e-02
    1.712898     1.556824     2.070000  9.306430e-02 -8.596280e-02
    1.544925     1.535701    16.570000  1.891976e-01 -1.052347e-01
    1.371710     1.443905    40.340000  1.925597e-01 -1.387707e-01
    1.205625     1.200995    71.990000  7.113848e-02 -1.839683e-01
    1.177771     0.915723    90.780000 -1.205652e-02 -2.221325e-01
    1.178834     0.784646    90.207000 -6.952208e-02 -2.616055e-01
    1.178657     0.318441    89.897000 -4.417159e-01 -4.444413e-01
    1.178488     0.191480    90.003000 -5.200877e-01 -4.856340e-01
    1.178732     0.065520    90.032000 -5.599738e-01 -5.090313e-01
    1.179050    -0.062550    89.770000 -5.604165e-01 -5.093553e-01
    1.176240    -0.190480    89.933800 -5.211339e-01 -4.850099e-01
    1.178880    -0.317410    89.960000 -4.426033e-01 -4.445940e-01
    1.179190    -0.783120    89.890000 -7.021944e-02 -2.623078e-01
    1.178630    -0.912240    89.989900 -1.200289e-02 -2.247225e-01
    1.205800    -1.197130   107.710000  7.032076e-02 -1.844465e-01
    1.373240    -1.441720   140.800000  1.920236e-01 -1.384608e-01
    1.546700    -1.533090   163.460000  1.875945e-01 -1.054723e-01
    1.711916    -1.552241   178.440000  9.004031e-02 -8.580469e-02
    1.881693    -1.529181  -165.490000 -4.196734e-02 -6.805960e-02
    2.043897    -1.475714  -159.000000 -1.216527e-01 -6.454784e-02
    2.200189    -1.398453  -151.676000 -1.957093e-01 -6.132232e-02
    2.453131    -1.233549  -140.280000 -2.772499e-01 -5.797355e-02
    2.567027    -1.128172  -134.181000 -2.881772e-01 -5.686098e-02
    2.668492    -1.011205  -127.770000 -2.816091e-01 -5.597956e-02
    2.749513    -0.876732  -112.150000 -2.661551e-01 -4.922269e-02
    2.780475    -0.571794   -89.560000 -2.276185e-01 -5.009812e-02
