	[R]	[BT0]	[BT]	[Btotal]
1.789007e+00	1.548709e+00	1.548709e+00	1.548709e+00
1.789040e+00	1.548972e+00	1.548972e+00	1.548972e+00
1.787769e+00	1.550361e+00	1.550361e+00	1.550361e+00
1.786499e+00	1.551748e+00	1.551748e+00	1.551748e+00
1.785303e+00	1.553069e+00	1.553069e+00	1.553069e+00
1.784654e+00	1.553911e+00	1.553911e+00	1.553911e+00
1.783419e+00	1.555263e+00	1.555263e+00	1.555263e+00
1.782807e+00	1.556068e+00	1.556068e+00	1.556068e+00
1.781560e+00	1.557426e+00	1.557426e+00	1.557426e+00
1.780932e+00	1.558240e+00	1.558240e+00	1.558240e+00
1.779677e+00	1.559601e+00	1.559601e+00	1.559601e+00
1.779048e+00	1.560411e+00	1.560411e+00	1.560411e+00
1.777777e+00	1.561782e+00	1.561782e+00	1.561782e+00
1.777149e+00	1.562587e+00	1.562587e+00	1.562587e+00
1.775872e+00	1.563960e+00	1.563960e+00	1.563960e+00
1.775235e+00	1.564767e+00	1.564767e+00	1.564767e+00
1.773955e+00	1.566140e+00	1.566140e+00	1.566140e+00
1.773310e+00	1.566949e+00	1.566949e+00	1.566949e+00
1.772018e+00	1.568329e+00	1.568329e+00	1.568329e+00
1.771374e+00	1.569133e+00	1.569133e+00	1.569133e+00
1.770064e+00	1.570526e+00	1.570526e+00	1.570526e+00
1.769415e+00	1.571330e+00	1.571330e+00	1.571330e+00
1.768105e+00	1.572720e+00	1.572720e+00	1.572720e+00
1.767441e+00	1.573533e+00	1.573533e+00	1.573533e+00
1.766126e+00	1.574924e+00	1.574924e+00	1.574924e+00
1.765460e+00	1.575735e+00	1.575735e+00	1.575735e+00
1.764126e+00	1.577140e+00	1.577140e+00	1.577140e+00
1.763454e+00	1.577952e+00	1.577952e+00	1.577952e+00
1.762116e+00	1.579359e+00	1.579359e+00	1.579359e+00
1.761439e+00	1.580170e+00	1.580170e+00	1.580170e+00
1.760081e+00	1.581593e+00	1.581593e+00	1.581593e+00
1.759404e+00	1.582401e+00	1.582401e+00	1.582401e+00
1.758036e+00	1.583829e+00	1.583829e+00	1.583829e+00
1.757349e+00	1.584643e+00	1.584643e+00	1.584643e+00
1.755971e+00	1.586079e+00	1.586079e+00	1.586079e+00
1.755280e+00	1.586891e+00	1.586891e+00	1.586891e+00
1.753890e+00	1.588335e+00	1.588335e+00	1.588335e+00
1.753190e+00	1.589154e+00	1.589154e+00	1.589154e+00
1.751786e+00	1.590608e+00	1.590608e+00	1.590608e+00
1.751084e+00	1.591425e+00	1.591425e+00	1.591425e+00
1.749666e+00	1.592890e+00	1.592890e+00	1.592890e+00
1.748953e+00	1.593713e+00	1.593713e+00	1.593713e+00
1.747525e+00	1.595187e+00	1.595187e+00	1.595187e+00
1.746088e+00	1.596667e+00	1.596667e+00	1.596667e+00
1.745365e+00	1.597495e+00	1.597495e+00	1.597495e+00
1.743909e+00	1.598992e+00	1.598992e+00	1.598992e+00
1.743179e+00	1.599822e+00	1.599822e+00	1.599822e+00
1.741713e+00	1.601328e+00	1.601328e+00	1.601328e+00
1.740977e+00	1.602161e+00	1.602161e+00	1.602161e+00
1.739491e+00	1.603684e+00	1.603684e+00	1.603684e+00
1.738747e+00	1.604521e+00	1.604521e+00	1.604521e+00
1.737247e+00	1.606057e+00	1.606057e+00	1.606057e+00
1.736496e+00	1.606898e+00	1.606898e+00	1.606898e+00
1.734982e+00	1.608444e+00	1.608444e+00	1.608444e+00
1.734219e+00	1.609294e+00	1.609294e+00	1.609294e+00
1.732688e+00	1.610857e+00	1.610857e+00	1.610857e+00
1.731917e+00	1.611711e+00	1.611711e+00	1.611711e+00
1.730372e+00	1.613286e+00	1.613286e+00	1.613286e+00
1.729592e+00	1.614147e+00	1.614147e+00	1.614147e+00
1.728026e+00	1.615742e+00	1.615742e+00	1.615742e+00
1.727237e+00	1.616609e+00	1.616609e+00	1.616609e+00
1.725652e+00	1.618220e+00	1.618220e+00	1.618220e+00
1.724857e+00	1.619091e+00	1.619091e+00	1.619091e+00
1.723250e+00	1.620723e+00	1.620723e+00	1.620723e+00
1.722444e+00	1.621603e+00	1.621603e+00	1.621603e+00
1.720817e+00	1.623255e+00	1.623255e+00	1.623255e+00
1.720000e+00	1.624142e+00	1.624142e+00	1.624142e+00
1.718356e+00	1.625811e+00	1.625811e+00	1.625811e+00
1.717529e+00	1.626707e+00	1.626707e+00	1.626707e+00
1.715860e+00	1.628400e+00	1.628400e+00	1.628400e+00
1.715019e+00	1.629307e+00	1.629307e+00	1.629307e+00
1.713330e+00	1.631021e+00	1.631021e+00	1.631021e+00
1.712479e+00	1.631936e+00	1.631936e+00	1.631936e+00
1.710767e+00	1.633672e+00	1.633672e+00	1.633672e+00
