ZONE I=129 J=129
8.400000e-01 -1.600000e+00 -1.454496e-01
8.400000e-01 -1.575000e+00 -1.475426e-01
8.400000e-01 -1.550000e+00 -1.494140e-01
8.400000e-01 -1.525000e+00 -1.510040e-01
8.400000e-01 -1.500000e+00 -1.522727e-01
8.400000e-01 -1.475000e+00 -1.532163e-01
8.400000e-01 -1.450000e+00 -1.538866e-01
8.400000e-01 -1.425000e+00 -1.544051e-01
8.400000e-01 -1.400000e+00 -1.549695e-01
8.400000e-01 -1.375000e+00 -1.558711e-01
8.400000e-01 -1.350000e+00 -1.575717e-01
8.400000e-01 -1.325000e+00 -1.584902e-01
8.400000e-01 -1.300000e+00 -1.582756e-01
8.400000e-01 -1.275000e+00 -1.575296e-01
8.400000e-01 -1.250000e+00 -1.561412e-01
8.400000e-01 -1.225000e+00 -1.540152e-01
8.400000e-01 -1.200000e+00 -1.515819e-01
8.400000e-01 -1.175000e+00 -1.486442e-01
8.400000e-01 -1.150000e+00 -1.448716e-01
8.400000e-01 -1.125000e+00 -1.406583e-01
8.400000e-01 -1.100000e+00 -1.357462e-01
8.400000e-01 -1.075000e+00 -1.295120e-01
8.400000e-01 -1.050000e+00 -1.221456e-01
8.400000e-01 -1.025000e+00 -1.129323e-01
8.400000e-01 -1.000000e+00 -1.035859e-01
8.400000e-01 -9.750000e-01 -9.620840e-02
8.400000e-01 -9.500000e-01 -8.997556e-02
8.400000e-01 -9.250000e-01 -8.521558e-02
8.400000e-01 -9.000000e-01 -8.116765e-02
8.400000e-01 -8.750000e-01 -7.752653e-02
8.400000e-01 -8.500000e-01 -7.480848e-02
8.400000e-01 -8.250000e-01 -7.257987e-02
8.400000e-01 -8.000000e-01 -7.055359e-02
8.400000e-01 -7.750000e-01 -6.922978e-02
8.400000e-01 -7.500000e-01 -6.840345e-02
8.400000e-01 -7.250000e-01 -6.779036e-02
8.400000e-01 -7.000000e-01 -6.793803e-02
8.400000e-01 -6.750000e-01 -6.804714e-02
8.400000e-01 -6.500000e-01 -6.694673e-02
8.400000e-01 -6.250000e-01 -6.635206e-02
8.400000e-01 -6.000000e-01 -6.646093e-02
8.400000e-01 -5.750000e-01 -6.661936e-02
8.400000e-01 -5.500000e-01 -6.695869e-02
8.400000e-01 -5.250000e-01 -6.798606e-02
8.400000e-01 -5.000000e-01 -6.901816e-02
8.400000e-01 -4.750000e-01 -7.014814e-02
8.400000e-01 -4.500000e-01 -7.211243e-02
8.400000e-01 -4.250000e-01 -7.416286e-02
8.400000e-01 -4.000000e-01 -7.637050e-02
8.400000e-01 -3.750000e-01 -7.986914e-02
8.400000e-01 -3.500000e-01 -8.400117e-02
8.400000e-01 -3.250000e-01 -8.747545e-02
8.400000e-01 -3.000000e-01 -9.033075e-02
8.400000e-01 -2.750000e-01 -9.267152e-02
8.400000e-01 -2.500000e-01 -9.460892e-02
8.400000e-01 -2.250000e-01 -9.640025e-02
8.400000e-01 -2.000000e-01 -9.791752e-02
8.400000e-01 -1.750000e-01 -9.916898e-02
8.400000e-01 -1.500000e-01 -1.003420e-01
8.400000e-01 -1.250000e-01 -1.013335e-01
8.400000e-01 -1.000000e-01 -1.021213e-01
8.400000e-01 -7.500000e-02 -1.028648e-01
8.400000e-01 -5.000000e-02 -1.035019e-01
8.400000e-01 -2.500000e-02 -1.040102e-01
8.400000e-01 0.000000e+00 -1.045017e-01
8.400000e-01 2.500000e-02 -1.044399e-01
8.400000e-01 5.000000e-02 -1.042051e-01
8.400000e-01 7.500000e-02 -1.037879e-01
8.400000e-01 1.000000e-01 -1.032781e-01
8.400000e-01 1.250000e-01 -1.025374e-01
8.400000e-01 1.500000e-01 -1.015656e-01
8.400000e-01 1.750000e-01 -1.004915e-01
8.400000e-01 2.000000e-01 -9.914670e-02
8.400000e-01 2.250000e-01 -9.749409e-02
8.400000e-01 2.500000e-01 -9.570839e-02
8.400000e-01 2.750000e-01 -9.352746e-02
8.400000e-01 3.000000e-01 -9.088586e-02
8.400000e-01 3.250000e-01 -8.781279e-02
8.400000e-01 3.500000e-01 -8.368530e-02
8.400000e-01 3.750000e-01 -7.938475e-02
8.400000e-01 4.000000e-01 -7.641920e-02
8.400000e-01 4.250000e-01 -7.389615e-02
8.400000e-01 4.500000e-01 -7.156700e-02
8.400000e-01 4.750000e-01 -6.998247e-02
8.400000e-01 5.000000e-01 -6.864758e-02
8.400000e-01 5.250000e-01 -6.735900e-02
8.400000e-01 5.500000e-01 -6.664942e-02
8.400000e-01 5.750000e-01 -6.622235e-02
8.400000e-01 6.000000e-01 -6.584248e-02
8.400000e-01 6.250000e-01 -6.601341e-02
8.400000e-01 6.500000e-01 -6.666975e-02
8.400000e-01 6.750000e-01 -6.771302e-02
8.400000e-01 7.000000e-01 -6.734576e-02
8.400000e-01 7.250000e-01 -6.754092e-02
8.400000e-01 7.500000e-01 -6.801666e-02
8.400000e-01 7.750000e-01 -6.887321e-02
8.400000e-01 8.000000e-01 -7.050743e-02
8.400000e-01 8.250000e-01 -7.234686e-02
8.400000e-01 8.500000e-01 -7.452180e-02
8.400000e-01 8.750000e-01 -7.762403e-02
8.400000e-01 9.000000e-01 -8.107040e-02
8.400000e-01 9.250000e-01 -8.500951e-02
8.400000e-01 9.500000e-01 -9.024515e-02
8.400000e-01 9.750000e-01 -9.631991e-02
8.400000e-01 1.000000e+00 -1.036398e-01
8.400000e-01 1.025000e+00 -1.130781e-01
8.400000e-01 1.050000e+00 -1.216703e-01
8.400000e-01 1.075000e+00 -1.287525e-01
8.400000e-01 1.100000e+00 -1.343800e-01
8.400000e-01 1.125000e+00 -1.392084e-01
8.400000e-01 1.150000e+00 -1.435854e-01
8.400000e-01 1.175000e+00 -1.471699e-01
8.400000e-01 1.200000e+00 -1.502490e-01
8.400000e-01 1.225000e+00 -1.530909e-01
8.400000e-01 1.250000e+00 -1.553213e-01
8.400000e-01 1.275000e+00 -1.570062e-01
8.400000e-01 1.300000e+00 -1.583655e-01
8.400000e-01 1.325000e+00 -1.589263e-01
8.400000e-01 1.350000e+00 -1.583349e-01
8.400000e-01 1.375000e+00 -1.576433e-01
8.400000e-01 1.400000e+00 -1.575729e-01
8.400000e-01 1.425000e+00 -1.576975e-01
8.400000e-01 1.450000e+00 -1.577263e-01
8.400000e-01 1.475000e+00 -1.574531e-01
8.400000e-01 1.500000e+00 -1.567530e-01
8.400000e-01 1.525000e+00 -1.555841e-01
8.400000e-01 1.550000e+00 -1.539723e-01
8.400000e-01 1.575000e+00 -1.519842e-01
8.400000e-01 1.600000e+00 -1.497045e-01
